job,popM,popF,peakAge,meanAge
건축석공,180,20,42,54
건축목공,220,30,42,54
전통건축기능원,100,20,48,58
조적원,200,20,40,52
미장공,250,30,40,52
방수공,180,20,42,54
단열공,150,20,40,52
타일·대리석시공원,200,30,41,53
도배공,180,20,41,53
유리부착원,150,20,38,50
건물도장공,220,30,40,52
섀시조립·설치원,200,30,38,50
배관공,350,30,42,54
공업배관공,250,30,43,55
건설·채굴기계운전원,400,50,42,54
광원·채석원 및 석재절단원,300,50,42,54
철로설치·보수원,250,30,45,57
점화·발파·화약관리원,150,20,45,57
잠수기능원,120,20,38,50
건설·채굴단순종사원,400,100,35,47
공업기계설치·정비원,400,100,40,52
승강기설치·정비원,280,50,42,54
물품이동장비설치·정비원,300,50,42,54
냉동·냉장·공조기설치·정비원,350,50,42,54
보일러설치·정비원,250,50,45,57
건설·광업기계설치·정비원,300,50,43,55
농업용 및 기타 기계장비설치·정비원,250,50,44,56
항공기정비원,280,100,40,52
헬리콥터정비원,80,20,40,52
선박정비원,200,30,45,57
철도기관차·전동차정비원,250,50,45,57
자동차정비원,800,150,40,52
오토바이정비원,400,100,38,50
자전거판매 및 수리원,250,150,35,47
금형원,350,100,42,54
금속공작기계조작원,400,150,40,52
냉·난방설비조작원,200,50,40,52
자동조립라인·산업용 로봇조작원,450,300,32,44
일반기계조립원,500,300,35,47
자동차조립원,800,400,35,47
자동차부품조립·검사원,600,500,32,44
선박조립원,400,100,38,50
금속가공제어장치조작원,350,150,38,50
금속가공기계조작원,450,200,38,50
판금원 및 판금기조작원,400,100,40,52
제관원 및 제관기조작원,300,100,40,52
단조원 및 단조기조작원,350,100,42,54
주조원 및 주조기조작원,400,150,40,52
용접원 및 용접기조작원,600,150,40,52
도장원(도장기조작원),400,200,38,50
도금·금속분무기조작원,300,200,38,50
유리·유리제품생산기계조작원,250,300,35,47
점토제품생산기계조작원,200,250,36,48
시멘트·광물제품생산기계조작원,300,200,40,52
광석·석제품생산기계조작원,250,200,40,52
산업전기공,350,50,42,54
내선전기공,450,100,42,54
외선전기공,500,100,43,55
사무용 전자기기설치·수리원,280,150,38,50
가전제품설치·수리원,350,150,40,52
발전·배전장치조작원,200,50,45,57
전기·전자설비조작원,350,100,42,54
전기부품·제품생산기계조작원,350,300,35,47
전자부품·제품생산기계조작원,500,400,32,44
전기·전자부품·제품조립원,600,500,33,45
컴퓨터설치·수리원,300,150,38,50
이동전화기수리원,200,150,32,44
방송장비설치·수리원,200,100,40,52
통신장비설치·수리원,280,120,40,52
방송·통신·인터넷케이블 설치·수리원,350,100,40,52
석유·천연가스제조제어장치조작원,200,50,42,54
화학물가공장치조작원,250,150,40,52
타이어·고무제품생산기계조작원,300,200,38,50
플라스틱제품생산기계조작원,400,300,36,48
화학제품생산기계조작원(고무·플라스틱 제외),300,200,38,50
고무·플라스틱 제품 조립원,400,400,33,45
상·하수도처리장치조작원,250,50,42,54
재활용 처리장치·소각로조작원,200,50,40,52
섬유제조기계조작원,300,500,35,47
직조기·편직기조작원,250,450,36,48
표백·염색기조작원,200,350,35,47
패턴사,100,250,35,47
재단사,150,400,38,50
재봉사,300,700,38,50
한복제조원,80,220,42,54
양장·양복제조원,150,450,40,52
의복·가죽·모피수선원,100,350,40,52
제화원,180,220,42,54
신발제조기계조작원 및 조립원,250,350,35,47
세탁기계조작원,150,300,38,50
제과·제빵원,250,450,32,44
떡제조원,100,250,38,50
정육원 및 도축원,300,100,40,52
김치·밑반찬 제조종사원,200,400,35,47
식품·담배등급원,180,220,38,50
육류·어패류·낙농품가공기계조작원,300,350,36,48
제분·도정기계조작원,200,100,40,52
곡물가공제품기계조작원,200,200,38,50
과실·채소기계조작원,250,300,36,48
음료제조기계조작원,300,300,38,50
인쇄기계조작원,300,200,40,52
사진인화·현상기조작원(사진수정 포함),150,200,35,47
목재가공기계조작원,350,100,40,52
펄프·종이제조장치조작원,250,150,40,52
종이제품생산기계조작원,300,200,38,50
가구제조·수리원,350,150,42,54
가구조립원,400,250,36,48
공예원,200,300,38,50
귀금속·보석세공원,250,350,38,50
악기제조원 및 조율사,180,220,42,54
간판제작·설치원,280,100,40,52
포장원,350,400,32,44
곡식작물재배원,1500,800,52,62
채소·특용작물재배원,800,600,50,60
과수작물재배원,600,400,52,62
원예작물재배원,400,350,48,58
조경원,300,200,38,50
낙농종사원,400,250,48,58
가축사육종사원,600,350,50,60
조림·산림경영인 및 벌목원,400,150,50,60
양식원,350,250,45,55
어부 및 해녀,500,450,48,58
투자분석가,180,120,38,50
신용분석가,200,250,35,47
자산운용가,200,150,40,52
보험상품개발자,150,150,38,50
금융상품개발자,180,150,38,50
증권딜러,280,200,38,50
손해사정사,220,180,40,52
은행사무원,450,550,32,44
증권사무원,350,400,32,44
보험심사원,280,320,35,47
보험보상사무원,250,300,34,46
출납창구사무원,380,620,28,40
신용추심원,200,300,32,44
보험대리인 및 중개인,350,300,42,54
보험모집인,400,450,40,52
철학연구원,80,40,42,54
역사학연구원,100,60,43,55
언어학연구원,120,100,42,54
교육학연구원,150,180,42,54
심리학연구원,180,220,40,52
정치학연구원,100,80,44,56
경제학연구원,200,150,42,54
사회학연구원,120,100,42,54
물리학연구원,200,100,42,54
화학연구원,200,150,42,54
수학·통계학연구원,180,120,42,54
생물학연구원,220,200,40,52
지질학연구원,120,80,42,54
천문·기상학연구원,150,100,42,54
자연과학시험원,250,200,38,50
의학연구원,220,180,45,57
약학연구원,180,200,44,56
농학연구원,200,150,42,54
수산학연구원,150,100,42,54
임학·산림학연구원,120,80,43,55
축산학·수의학연구원,150,100,42,54
생명과학시험원,300,350,36,48
농림어업시험원,350,250,40,52
컴퓨터하드웨어기술자 및 연구원,400,150,38,50
통신기기·장비기술자,350,150,40,52
통신기술개발자,280,120,38,50
통신망운영기술자,250,100,40,52
컴퓨터시스템설계 및 분석가,450,300,36,48
정보통신컨설턴트 및 감리원,350,200,40,52
시스템소프트웨어개발자,500,250,32,44
응용소프트웨어개발자,600,400,30,42
가상현실전문가,250,150,30,42
게임프로그래머,400,200,28,40
모바일앱개발자,450,300,29,41
웹개발자,500,350,29,41
웹기획자,300,350,32,44
IT테스터 및 QA전문가(SW테스터),350,350,31,43
데이터베이스개발자,350,200,34,46
빅데이터분석가,280,200,34,46
네트워크시스템개발자,350,150,36,48
정보시스템운영자,400,250,38,50
네트워크관리자,350,200,38,50
IT기술지원전문가,400,300,35,47
웹운영자,300,350,32,44
정보보안전문가,320,180,36,48
통신장비기사,250,100,40,52
방송송출장비기사,200,100,38,50
건축가(건축설계사),350,200,38,50
건축구조기술자,280,150,40,52
건축설비기술자,250,120,40,52
건축감리기술자,300,150,42,54
건축안전·환경·품질·에너지관리기술자,280,120,40,52
건축시공기술자 및 견적원,350,150,40,52
토목구조설계기술자,300,150,40,52
토목감리기술자,320,150,42,54
컴퓨터강사,250,300,38,50
기술·기능계강사,200,150,42,54
예능강사,180,320,36,48
학습지·교육교구방문강사,200,450,35,47
교재·교구개발원,150,200,38,50
판사,250,150,50,60
검사,280,180,50,60
변호사,400,300,45,55
법무사 및 집행관,250,150,45,55
변리사,180,120,45,55
법률사무원,350,450,32,44
사회복지사,450,750,32,44
심리상담전문가,200,400,35,47
청소년지도사,250,350,32,44
직업상담사,200,350,35,47
사회단체활동가,300,400,38,50
보육교사,150,850,28,40
생활지도원,300,500,30,42
경찰관,1200,400,38,50
해양경찰관,300,80,38,50
소방관,1500,400,36,48
교도관,600,300,38,50
위관급 장교,800,300,42,54
부사관,1200,500,38,50
내과의사,320,280,45,55
외과의사,380,220,46,56
성형외과의사,200,200,45,55
산부인과의사,120,280,45,55
이비인후과의사,200,200,45,55
안과의사,200,200,45,55
정신과의사,180,220,45,55
소아과의사,150,250,44,54
방사선과의사,180,220,44,54
마취병리과의사,200,200,45,55
비뇨기과의사,250,100,46,56
피부과의사,150,250,44,54
가정의학과의사,200,250,44,54
일반의사,250,200,45,55
한의사,250,200,45,55
치과의사,350,400,44,54
수의사,200,250,42,54
약사,500,850,38,50
한약사,150,200,42,54
보건교사,200,400,32,44
간호사,800,3200,32,44
영양사,150,450,32,44
임상병리사,350,450,32,44
방사선사,300,400,32,44
치과기공사,250,150,38,50
치과위생사,150,550,28,40
물리치료사,350,450,30,42
작업치료사,250,350,30,42
임상심리사,180,320,32,44
재활공학기사,200,150,36,48
언어치료사,100,400,30,42
청능치료사,80,220,32,44
놀이치료사,100,300,30,42
예술치료사,120,280,32,44
응급구조사,400,300,30,42
안경사,250,350,32,44
보건의료정보관리사,200,300,32,44
간호조무사,350,850,28,40
안마사,400,300,42,54
소설가,150,200,45,55
영화시나리오작가,100,150,42,54
방송작가,200,250,38,50
번역가,250,350,40,52
통역가,200,250,38,50
출판물기획자,180,220,38,50
신문기자,400,450,35,47
방송기자,350,400,34,46
잡지기자,250,300,34,46
학예사,180,320,36,48
문화재보존원,150,200,38,50
사서,200,400,35,47
기록물관리사,150,250,36,48
화가,250,350,42,54
조각가,150,200,45,55
사진작가 및 사진사,350,350,40,52
만화가,200,250,36,48
만화영화작가(애니메이터),300,350,32,44
국악인,180,220,40,52
지휘자,100,80,50,60
작곡가,200,250,42,54
연주가,350,450,38,50
가수,350,450,32,44
성악가,200,300,38,50
무용가,200,400,28,40
안무가,180,320,32,44
대중무용수,250,450,24,36
제품디자이너,350,300,34,46
의상디자이너,200,400,34,46
패션소품디자이너,180,320,32,44
실내장식디자이너,250,400,35,47
시각디자이너,400,450,32,44
웹디자이너,450,400,30,42
게임그래픽디자이너,350,300,29,41
영상그래픽디자이너,350,350,31,43
UX·UI디자이너,400,350,30,42
방송연출가,250,200,40,52
영화감독,200,150,45,55
연극연출가,180,220,42,54
광고영상감독,220,180,40,52
기술감독,250,150,42,54
영화배우 및 탤런트,350,450,32,44
모델,200,600,24,36
연극·뮤지컬배우,300,400,30,42
개그맨 및 코미디언,350,200,34,46
성우,250,350,35,47
아나운서,300,400,32,44
리포터,280,420,32,44
촬영기사,250,150,38,50
음향·녹음기사,200,100,38,50
영상·녹화·편집기사,300,200,35,47
조명기사,250,150,38,50
웹방송전문가(콘텐츠제작자),400,500,26,38
연예인매니저,250,350,32,44
스포츠감독 및 코치,400,250,45,55
직업운동선수,600,400,28,40
프로게이머,500,250,22,34
경기심판,350,150,42,54
스포츠강사,450,500,32,44
스포츠트레이너,350,400,30,42
레크리에이션전문가,300,400,35,47
이용사,180,320,32,44
미용사,200,2000,28,40
피부 및 체형관리사,100,800,30,42
네일아티스트,80,920,26,38
메이크업아티스트,80,420,28,40
분장사,120,280,35,47
반려동물미용사,150,450,28,40
수의사보조원,150,350,26,38
웨딩플래너,80,320,32,44
혼례종사원,120,280,35,47
장례지도사 및 장례상담원,280,220,40,52
여행상품개발자,150,200,34,46
여행사무원,180,320,30,42
자연 및 문화해설사,250,350,38,50
여행안내원,300,450,30,42
항공기객실승무원,350,850,28,40
선박객실승무원,280,220,32,44
열차객실승무원,400,600,30,42
숙박시설서비스원,400,600,28,40
오락시설서비스원,350,450,26,38
주방장,350,150,40,52
토목안전·환경·품질기술자,280,120,40,52
토목시공기술자 및 견적원,350,150,40,52
조경기술자,200,150,38,50
도시계획·설계가,250,180,40,52
교통계획·설계가,200,150,40,52
교통영향평가원,180,120,38,50
지적 및 측량기술자,300,150,40,52
지리정보시스템전문가,250,200,36,48
건설자재시험원,200,150,38,50
건설기계공학기술자 및 연구원,280,120,40,52
플랜트기계공학기술자,300,100,42,54
항공공학기술자,250,120,40,52
자동차공학기술자,350,150,38,50
조선·해양공학기술자,300,120,42,54
로봇공학기술자,280,150,36,48
기계시험원,300,200,38,50
금속·재료공학기술자,250,150,40,52
금속·재료공학시험원,280,200,38,50
전기기기·제품개발기술자 및 연구원,350,150,38,50
전기계측제어기술자,300,150,40,52
발전설비기술자,280,100,42,54
송·배전설비기술자,300,100,42,54
전기감리기술자,250,100,42,54
전기안전기술자,220,80,42,54
전자제품 및 부품 개발기술자,350,200,38,50
반도체공학기술자 및 연구원,400,250,36,48
전자계측제어기술자,300,150,40,52
디스플레이연구 및 개발자,280,200,36,48
전기·전자공학시험원,350,300,36,48
석유화학공학기술자 및 연구원,300,150,40,52
고무·플라스틱 화학공학기술자 및 연구원,250,150,40,52
도료·농약품 화학공학기술자 및 연구원,220,150,40,52
비누·화장품 화학공학기술자 및 연구원,200,250,38,50
의약품공학기술자 및 연구원,250,300,40,52
화학공학시험원,300,250,36,48
태양광발전연구 및 개발자,220,150,36,48
풍력발전연구 및 개발자,250,150,36,48
원자력공학기술자,280,120,42,54
에너지시험원,250,200,38,50
대기환경기술자 및 연구원,280,220,38,50
수질환경기술자 및 연구원,300,250,38,50
폐기물처리기술자,250,150,38,50
환경영향평가원,220,180,38,50
소음진동기술자 및 연구원,200,150,38,50
토양환경기술자 및 연구원,200,150,38,50
환경시험원,280,300,36,48
보건위생·환경검사원,300,350,35,47
섬유공학기술자,200,180,40,52
섬유공학시험원,250,250,36,48
식품공학기술자 및 연구원,280,220,38,50
식품공학시험원,300,300,36,48
소방공학기술자 및 연구원,250,150,40,52
산업안전원,350,250,38,50
위험관리원,300,250,40,52
비파괴검사원,280,120,40,52
3D프린팅모델러,250,150,32,44
제도사(캐드원),350,300,34,46
대학교수,2500,1500,52,62
대학시간강사,600,700,38,50
중·고등학교교사,3000,4000,38,50
초등학교교사,2000,3000,36,48
특수교육교사,500,700,36,48
보조교사,400,900,28,40
유치원교사,300,1700,28,40
문리학원강사,800,1200,35,47
외국어강사,600,900,32,44
고위공무원,1200,600,50,60
기업고위임원,2500,800,55,65
정부행정관리자,1500,800,48,58
경영지원관리자,1200,800,45,55
마케팅·광고·홍보관리자,800,700,42,54
금융관리자,600,500,48,58
보험관리자,400,400,48,58
연구관리자,500,400,48,58
유치원 원장 및 원감,250,450,48,58
초등학교 교장 및 교감,800,400,55,65
중고등학교 교장 및 교감,1200,500,56,66
대학교 총장 및 대학학장,400,200,58,68
경찰·소방·교도관리자,800,300,50,60
보건·의료관리자,500,700,48,58
사회복지관리자,400,600,45,55
예술·디자인·방송관리자,350,350,45,55
정보통신관리자,600,400,48,58
여행·호텔관리자,350,450,42,54
음식서비스관리자,500,400,45,55
경비·청소관리자,400,300,48,58
영업·판매관리자,1200,800,48,58
운송관리자,800,400,50,60
건설·채굴관리자,1200,400,50,60
전기·가스·수도관리자,600,300,50,60
제조·생산관리자,1500,600,48,58
정부·공공행정전문가,800,600,42,54
경영·진단전문가,600,450,45,55
노무사,300,200,45,55
인적자원전문가,500,600,40,52
회계사,600,500,42,54
세무사,500,400,45,55
관세사,200,150,45,55
감정평가사,350,200,45,55
광고·홍보·마케팅전문가,600,700,38,50
조사전문가,350,400,38,50
상품기획자,400,500,35,47
공연·영화·음반기획자,300,400,36,48
행사기획자,350,500,34,46
조세행정사무원,350,400,32,44
관세행정사무원,250,300,32,44
병무행정사무원,300,350,32,44
공공행정사무원,400,500,32,44
법원공무원,500,600,32,44
경영기획사무원,400,500,32,44
광고·홍보·마케팅사무원,450,550,30,42
영업기획·관리·지원사무원,500,550,32,44
인사·교육·훈련사무원,400,600,32,44
총무사무원,450,650,32,44
감사사무원,300,400,35,47
회계사무원,500,750,32,44
경리사무원,450,750,32,44
무역사무원,350,450,30,42
도로운송사무원,400,450,32,44
철도·지하철운송사무원,350,450,32,44
항공운송사무원,300,400,30,42
수상운송사무원,250,300,32,44
자재·구매사무원,450,550,32,44
물류사무원,500,550,32,44
생산·품질사무원,500,550,32,44
품질관리사무원,450,550,32,44
안내·접수원,350,650,26,38
고객상담원,450,750,28,40
의료코디네이터,250,550,28,40
통계사무원,300,400,32,44
비서,300,1200,30,42
사무보조원,400,1000,26,38
출판·자료편집사무원,350,450,32,44
