job,popM,popF,peakAge,meanAge
가구조립원,45,8,42,48
공예원,12,38,43,50
귀금속·보석세공원,18,32,40,48
악기제조원 및 조율사,22,5,44,52
간판제작·설치원,80,12,38,44
포장원,35,95,45,52
곡식작물재배원,220,120,62,67
채소·특용작물재배원,140,130,60,65
과수작물재배원,110,90,61,66
원예작물재배원,45,55,52,58
조경원,210,30,46,52
낙농종사원,80,25,55,60
가축사육종사원,120,35,54,59
조림·산림경영인 및 벌목원,45,5,58,63
양식원,60,15,47,53
어부 및 해녀,95,55,54,60
투자분석가,95,45,35,40
신용분석가,70,50,36,41
자산운영가,110,40,37,42
보험상품개발자,55,45,34,39
금융상품개발자,65,35,35,40
증권딜러,80,20,33,38
손해사정사,120,60,42,47
은행사무원,180,320,34,40
증권사무원,95,105,33,38
보험심사원,70,110,36,42
보험보상사무원,55,85,37,43
출납창구사무원,45,155,32,38
신용추심원,85,65,38,44
보험대리인 및 중개인,150,120,46,51
보험모집인,110,190,45,50
철학연구원,28,12,42,48
역사학연구원,35,25,44,50
언어학연구원,22,48,38,44
교육학연구원,30,60,42,48
심리학연구원,18,72,38,44
정치학연구원,42,18,43,49
경제학연구원,65,35,39,45
사회학연구원,25,35,40,46
물리학연구원,55,12,37,43
화학연구원,48,22,36,42
수학·통계학연구원,40,20,35,41
생물학연구원,32,38,37,43
지질학연구원,28,8,41,47
천문·기상학연구원,22,10,40,46
자연과학시험원,35,25,34,40
의학연구원,55,45,42,48
약학연구원,32,48,38,44
농학연구원,48,22,43,49
수산학연구원,35,15,41,47
임학·산림학연구원,28,12,44,50
축산학·수의학연구원,38,32,40,46
생명과학시험원,25,35,37,43
농림어업시험원,40,20,42,48
컴퓨터하드웨어기술자 및 연구원,90,10,34,39
통신기기·장비기술자,85,15,35,40
통신기술개발자,75,12,33,38
통신망운영기술자,65,8,36,41
컴퓨터시스템설계 및 분석가,110,20,33,38
정보통신컨설턴트 및 감리원,80,12,37,42
시스템소프트웨어개발자,130,25,31,36
응용소프트웨어개발자,220,70,30,35
가상현실전문가,45,8,29,34
게임프로그래머,160,30,28,33
모바일앱개발자,190,45,29,34
웹개발자,240,80,30,35
웹기획자,55,45,31,36
IT테스터 및 QA전문가(SW테스터),70,40,29,34
데이터베이스개발자,85,25,31,36
빅데이터분석가,75,20,30,35
네트워크시스템개발자,100,8,32,37
정보시스템운영자,120,30,34,39
네트워크관리자,110,12,33,38
IT기술지원전문가,150,35,31,36
웹운영자,45,55,29,34
정보보안전문가,95,15,33,38
통신장비기사,70,5,36,42
방송송출장비기사,55,8,35,41
건축가(건축설계사),180,90,38,44
건축구조기술자,95,15,39,45
건축설비기술자,85,10,40,46
건축감리기술자,120,18,42,48
건축안전·환경·품질·에너지관리기술자,65,12,38,44
건축시공기술자 및 견적원,210,25,41,47
토목구조설계기술자,130,15,40,46
토목감리기술자,110,12,43,49
컴퓨터강사,55,45,34,40
기술·기능계강사,80,20,42,48
예능강사,18,82,33,39
학습지·교육교구방문강사,5,95,38,44
교재·교구개발원,15,65,35,41
판사,38,22,47,52
검사,42,18,45,50
변호사,320,120,43,48
법무사 및 집행관,75,25,48,53
변리사,55,20,41,47
법률사무원,45,105,36,42
사회복지사,110,340,35,42
심리상담전문가,22,88,37,43
청소년지도사,45,75,32,38
직업상담사,35,85,38,44
사회단체활동가,40,60,33,40
보육교사,3,197,29,35
생활지도원,65,115,36,43
경찰관,380,65,38,44
해양경찰관,25,3,37,43
소방관,160,12,36,42
교도관,45,5,40,46
위관급 장교,85,5,28,33
부사관,180,15,35,41
내과의사,95,65,44,49
외과의사,110,20,42,47
성형외과의사,48,12,41,46
산부인과의사,55,45,43,48
이비인후과의사,35,25,44,50
안과의사,38,22,45,51
정신과의사,28,32,43,49
소아과의사,22,48,42,48
방사선과의사,25,15,40,46
마취병리과의사,30,18,41,47
비뇨기과의사,42,5,43,49
피부과의사,20,40,42,48
가정의학과의사,38,62,45,51
일반의사,65,45,46,52
한의사,70,50,47,53
치과의사,55,45,42,48
수의사,60,25,38,44
약사,95,175,41,47
한약사,40,60,45,51
보건교사,1,99,36,44
간호사,15,585,28,34
영양사,3,127,32,39
임상병리사,22,108,31,37
방사선사,65,35,34,40
치과기공사,48,52,35,41
치과위생사,1,149,28,33
물리치료사,55,85,32,38
작업치료사,38,62,31,37
임상심리사,18,82,34,40
재활공학기사,42,18,35,41
언어치료사,8,92,33,39
청능치료사,12,38,34,40
놀이치료사,5,65,32,38
예술치료사,4,56,33,39
응급구조사,95,45,32,38
안경사,110,90,38,44
보건의료정보관리사,10,80,34,40
간호조무사,8,342,42,49
안마사,55,45,45,52
소설가,35,25,44,52
영화시나리오작가,28,22,37,43
방송작가,18,42,35,41
번역가,15,55,38,45
통역가,12,38,36,42
출판물기획자,25,35,36,42
신문기자,65,35,35,41
방송기자,45,55,34,40
잡지기자,22,38,36,42
학예사,18,32,40,47
문화재보존원,28,22,42,49
사서,12,88,38,46
기록물관리사,15,45,39,47
화가,30,40,41,49
조각가,22,8,43,51
사진작가 및 사진사,65,45,36,44
만화가,45,25,34,42
만화영화작가(애니메이터),35,25,31,37
국악인,15,25,38,48
지휘자,12,3,45,52
작곡가,38,12,34,41
연주가,25,35,33,40
가수,18,32,26,32
성악가,15,25,35,43
무용가,5,35,28,35
안무가,8,22,30,37
대중무용수,12,38,25,30
제품디자이너,55,45,32,38
의상디자이너,18,62,31,37
패션소품디자이너,8,42,30,36
실내장식디자이너,28,52,33,39
시각디자이너,45,55,31,37
웹디자이너,50,70,29,34
게임그래픽디자이너,60,40,28,33
영상그래픽디자이너,42,28,30,35
UX·UI디자이너,45,55,30,35
방송연출가,55,15,37,43
영화감독,38,8,40,47
연극연출가,22,12,39,46
광고영상감독,28,10,36,42
기술감독,35,5,41,48
영화배우 및 탤런트,25,35,32,40
모델,12,38,24,29
연극·뮤지컬배우,18,32,30,38
개그맨 및 코미디언,22,12,32,40
성우,15,25,34,42
아나운서,18,32,33,40
리포터,15,25,30,37
촬영기사,85,5,35,42
음향·녹음기사,70,8,34,41
영상·녹화·편집기사,65,15,33,39
조명기사,55,5,36,43
웹방송전문가(콘텐츠제작자),120,130,27,32
연예인매니저,45,35,30,36
스포츠감독 및 코치,45,5,39,46
직업운동선수,38,12,24,29
프로게이머,18,2,21,25
경기심판,22,3,38,45
스포츠강사,55,25,30,36
스포츠트레이너,42,18,29,34
레크리에이션전문가,15,25,31,37
이용사,95,15,46,53
미용사,8,242,34,41
피부 및 체형관리사,2,128,33,39
네일아티스트,1,89,28,33
메이크업아티스트,2,68,29,34
분장사,3,37,33,40
반려동물미용사,5,55,28,34
수의사보조원,8,32,29,35
웨딩플래너,5,65,30,36
혼례종사원,15,25,38,46
장례지도사 및 장례상담원,45,25,43,50
여행상품개발자,22,38,33,39
여행사무원,18,52,31,37
자연 및 문화해설사,20,40,38,45
여행안내원,25,55,29,35
항공기객실승무원,8,62,27,32
선박객실승무원,12,18,31,38
열차객실승무원,5,15,30,37
숙박시설서비스원,45,95,36,44
오락시설서비스원,55,65,28,34
주방장,180,80,43,49
토목안전·환경·품질기술자,75,12,39,45
토목시공기술자 및 견적원,160,18,42,48
조경기술자,95,25,40,46
도시계획·설계가,65,35,38,44
교통계획·설계가,55,15,37,43
교통영향평가원,42,18,40,46
지적 및 측량기술자,130,15,41,47
지리정보시스템전문가,48,22,35,41
건설자재시험원,55,10,42,48
건설기계공학기술자 및 연구원,85,5,38,44
플랜트기계공학기술자,70,2,40,46
항공공학기술자,38,3,37,43
자동차공학기술자,95,5,36,42
조선·해양공학기술자,65,2,38,44
로봇공학기술자,55,8,33,39
기계시험원,48,5,40,46
금속·재료공학기술자,60,12,38,44
금속·재료공학시험원,38,8,41,47
전기기기·제품개발기술자 및 연구원,80,10,36,42
전기계측제어기술자,65,5,37,43
발전설비기술자,55,3,40,46
송·배전설비기술자,48,2,41,47
전기감리기술자,42,5,42,48
전기안전기술자,55,4,43,49
전자제품 및 부품 개발기술자,90,15,34,40
반도체공학기술자 및 연구원,110,12,33,39
전자계측제어기술자,48,8,36,42
디스플레이연구 및 개발자,65,10,34,40
전기·전자공학시험원,38,12,35,41
석유화학공학기술자 및 연구원,55,8,38,44
고무·플라스틱 화학공학기술자 및 연구원,35,12,37,43
도료·농약품 화학공학기술자 및 연구원,28,10,39,45
비누·화장품 화학공학기술자 및 연구원,18,32,38,44
의약품공학기술자 및 연구원,42,28,37,43
화학공학시험원,32,18,39,45
태양광발전연구 및 개발자,55,15,36,42
풍력발전연구 및 개발자,42,8,37,43
원자력공학기술자,35,5,40,46
에너지시험원,28,7,41,47
대기환경기술자 및 연구원,48,22,38,44
수질환경기술자 및 연구원,42,18,39,45
폐기물처리기술자,55,10,40,46
환경영향평가원,38,22,38,44
소음진동기술자 및 연구원,32,8,40,46
토양환경기술자 및 연구원,28,12,41,47
환경시험원,25,15,40,46
보건위생·환경검사원,15,35,39,45
섬유공학기술자,22,18,41,48
섬유공학시험원,15,25,42,49
식품공학기술자 및 연구원,38,42,37,43
식품공학시험원,20,40,38,44
소방공학기술자 및 연구원,45,8,39,45
산업안전원,85,12,41,47
위험관리원,55,10,40,46
비파괴검사원,75,5,42,48
3D프린팅모델러,35,15,30,36
제도사(캐드원),95,45,33,39
대학교수,180,55,49,54
대학시간강사,70,90,42,48
중·고등학교교사,150,280,43,49
초등학교교사,45,305,38,45
특수교육교사,15,85,36,43
보조교사,8,92,28,35
유치원교사,1,149,29,36
문리학원강사,45,55,33,39
외국어강사,35,85,31,37
고위공무원,120,25,52,56
기업고위임원,180,15,53,57
정부행정관리자,95,35,51,55
경영지원관리자,110,30,48,53
마케팅·광고·홍보관리자,65,45,42,47
금융관리자,80,35,45,50
보험관리자,70,30,46,51
연구관리자,85,15,47,52
유치원 원장 및 원감,1,28,48,54
초등학교 교장 및 교감,30,55,52,57
중고등학교 교장 및 교감,85,35,54,58
대학교 총장 및 대학학장,28,3,57,61
경찰·소방·교도관리자,65,4,50,55
보건·의료관리자,42,38,48,53
사회복지관리자,22,48,45,50
예술·디자인·방송관리자,35,25,43,48
정보통신관리자,95,12,44,49
여행·호텔관리자,30,25,41,46
음식서비스관리자,55,35,42,47
경비·청소관리자,75,15,49,54
영업·판매관리자,120,25,44,49
운송관리자,95,8,47,52
건설·채굴관리자,110,3,50,55
전기·가스·수도관리자,65,5,48,53
제조·생산관리자,150,20,47,52
정부·공공행정전문가,70,50,45,51
경영·진단전문가,85,25,43,48
노무사,65,55,42,47
인적자원전문가,45,65,38,44
회계사,120,100,36,42
세무사,95,65,44,50
관세사,55,25,43,49
감정평가사,70,20,45,51
광고·홍보·마케팅전문가,55,75,33,39
조사전문가,35,45,34,40
상품기획자,48,52,32,38
공연·영화·음반기획자,42,38,34,40
행사기획자,30,50,31,37
조세행정사무원,45,35,41,47
관세행정사무원,40,25,40,46
병무행정사무원,35,15,39,45
공공행정사무원,55,45,42,48
법원공무원,48,62,38,44
경영기획사무원,95,55,35,41
광고·홍보·마케팅사무원,60,80,31,37
영업기획·관리·지원사무원,85,45,34,40
인사·교육·훈련사무원,55,75,35,41
총무사무원,70,50,37,43
감사사무원,65,25,40,46
회계사무원,80,140,33,39
경리사무원,25,165,34,40
무역사무원,60,80,32,38
도로운송사무원,55,15,39,45
철도·지하철운송사무원,38,8,40,46
항공운송사무원,25,35,34,40
수상운송사무원,20,10,41,47
자재·구매사무원,75,25,38,44
물류사무원,90,30,37,43
생산·품질사무원,85,35,36,42
품질관리사무원,65,45,35,41
안내·접수원,15,105,28,34
고객상담원,70,230,29,35
의료코디네이터,5,55,31,37
통계사무원,35,45,33,39
비서,3,127,30,36
사무보조원,80,170,28,34
출판·자료편집사무원,30,70,32,38
