job,popM,popF,peakAge,meanAge
신발제조기계조작원 및 조립원,35,45,46,49.2
세탁기계조작원,45,35,51,53.7
제과·제빵원,45,115,29,33.8
떡제조원,25,45,52,54.6
정육원 및 도축원,145,15,43,46.2
김치·밑반찬 제조종사원,10,135,51,53.9
식품·담배등급원,12,18,44,47.5
육류·어패류·낙농품가공기계조작원,45,35,46,49.1
제분·도정기계조작원,25,5,53,55.4
곡물가공제품기계조작원,35,25,47,50.3
과실·채소기계조작원,20,55,48,51.2
음료제조기계조작원,45,20,38,41.6
인쇄기계조작원,115,15,44,47.3
사진인화·현상기조작원(사진수정 포함),18,22,35,39.1
목재가공기계조작원,55,3,48,51.2
펄프·종이제조장치조작원,45,4,41,44.5
종이제품생산기계조작원,55,35,42,45.2
가구제조·수리원,95,5,47,50.1
가구조립원,75,12,39,42.7
공예원,25,65,43,46.8
귀금속·보석세공원,45,20,41,44.9
악기제조원 및 조율사,22,5,48,51.3
간판제작·설치원,65,8,42,45.1
포장원,85,340,46,49.5
곡식작물재배원,2800,2100,63,64.2
채소·특용작물재배원,1450,1650,60,61.7
과수작물재배원,1100,950,59,61.1
원예작물재배원,380,320,52,54.8
조경원,240,45,54,56.2
낙농종사원,95,45,50,52.6
가축사육종사원,210,85,52,54.3
조림·산림경영인 및 벌목원,75,3,53,55.1
양식원,185,65,51,53.9
어부 및 해녀,195,115,59,60.8
투자분석가,42,13,34,37.2
신용분석가,35,22,35,38.1
자산운용가,55,12,36,39.2
보험상품개발자,14,11,33,36.5
금융상품개발자,22,15,34,37.1
증권딜러,28,7,33,36.4
손해사정사,65,25,38,41.3
은행사무원,410,580,32,36.2
증권사무원,115,135,31,35.4
보험심사원,15,110,34,37.6
보험보상사무원,65,45,35,38.8
출납창구사무원,8,125,29,34.5
신용추심원,45,35,43,46.1
보험대리인 및 중개인,110,180,47,50.2
보험모집인,350,1850,49,51.7
철학연구원,5,3,41,45.2
역사학연구원,9,7,38,42.3
언어학연구원,6,12,36,40.1
교육학연구원,12,28,37,41.2
심리학연구원,8,34,34,38.1
정치학연구원,14,6,41,44.8
경제학연구원,32,12,39,42.9
사회학연구원,11,9,40,43.7
물리학연구원,18,3,35,39.2
화학연구원,95,55,33,36.9
수학·통계학연구원,24,18,34,37.8
생물학연구원,75,85,32,36.1
지질학연구원,15,4,37,40.9
천문·기상학연구원,9,4,35,38.6
자연과학시험원,65,85,28,32.4
의학연구원,45,55,36,40.2
약학연구원,25,65,34,38.1
농학연구원,45,25,39,42.7
수산학연구원,22,12,38,41.6
임학·산림학연구원,18,6,40,43.2
축산학·수의학연구원,24,14,37,40.8
생명과학시험원,55,95,27,31.6
농림어업시험원,25,20,31,35.4
컴퓨터하드웨어기술자 및 연구원,85,15,34,37.3
통신기기·장비기술자,145,15,36,39.5
통신기술개발자,115,20,33,36.8
통신망운영기술자,165,15,35,38.6
컴퓨터시스템설계 및 분석가,240,45,36,39.4
정보통신컨설턴트 및 감리원,95,12,41,44.1
시스템소프트웨어개발자,380,45,32,35.8
응용소프트웨어개발자,1450,380,30,34.2
가상현실전문가,28,7,29,32.6
게임프로그래머,165,15,28,32.1
모바일앱개발자,240,45,29,33.0
웹개발자,580,140,29,33.2
웹기획자,85,75,32,35.7
IT테스터 및 QA전문가(SW테스터),65,85,28,32.4
데이터베이스개발자,85,25,34,37.5
빅데이터분석가,110,55,31,34.6
네트워크시스템개발자,95,12,33,36.8
정보시스템운영자,210,35,35,38.9
네트워크관리자,115,15,34,37.8
IT기술지원전문가,145,25,31,34.9
웹운영자,75,65,30,33.8
정보보안전문가,135,20,32,35.6
통신장비기사,165,8,36,39.4
방송송출장비기사,45,5,37,40.5
건축가(건축설계사),165,45,38,41.9
건축구조기술자,35,5,39,42.7
건축설비기술자,75,6,41,44.3
건축감리기술자,95,5,46,49.1
건축안전·환경·품질·에너지관리기술자,45,8,37,40.8
건축시공기술자 및 견적원,340,15,40,43.2
토목구조설계기술자,55,5,37,40.6
토목감리기술자,115,2,48,51.2
컴퓨터강사,45,65,33,37.4
기술·기능계강사,85,35,41,44.6
예능강사,65,240,29,34.5
학습지·교육교구방문강사,15,380,39,42.8
교재·교구개발원,12,45,34,37.9
판사,21,14,44,46.8
검사,15,9,38,41.2
변호사,195,75,37,40.9
법무사 및 집행관,65,8,51,53.8
변리사,28,9,36,39.7
법률사무원,85,165,31,35.4
사회복지사,165,740,38,41.9
심리상담전문가,25,185,36,40.3
청소년지도사,22,45,34,37.8
직업상담사,12,95,38,41.6
사회단체활동가,45,65,36,40.2
보육교사,5,3200,33,37.5
생활지도원,35,85,39,42.7
경찰관,1150,180,37,40.4
해양경찰관,115,10,36,39.6
소방관,620,40,35,38.7
교도관,155,15,38,41.3
위관급 장교,160,20,25,27.4
부사관,1750,160,26,29.8
내과의사,135,45,42,45.3
외과의사,85,12,44,46.9
성형외과의사,42,5,41,44.2
산부인과의사,38,45,46,48.9
이비인후과의사,45,12,42,45.1
안과의사,35,15,42,45.0
정신과의사,39,21,41,44.3
소아과의사,22,42,40,43.6
방사선과의사,35,18,43,45.9
마취병리과의사,45,35,42,45.2
비뇨기과의사,32,1,46,48.7
피부과의사,41,14,39,42.5
가정의학과의사,55,45,41,44.6
일반의사,65,35,31,35.4
한의사,195,55,40,43.5
치과의사,210,85,41,44.2
수의사,55,25,35,38.6
약사,110,280,39,43.2
한약사,15,12,43,46.5
보건교사,0,115,38,41.9
간호사,50,2350,31,35.4
영양사,5,340,33,37.6
임상병리사,95,240,32,36.3
방사선사,185,135,34,37.9
치과기공사,115,55,35,38.8
치과위생사,2,380,28,32.4
물리치료사,165,310,29,33.1
작업치료사,25,115,27,30.9
임상심리사,15,85,33,37.4
재활공학기사,12,5,34,37.6
언어치료사,8,85,29,33.2
청능치료사,6,15,31,34.8
놀이치료사,2,45,31,35.1
예술치료사,4,55,32,35.9
응급구조사,65,35,29,32.8
안경사,135,65,35,38.9
보건의료정보관리사,12,85,30,34.1
간호조무사,40,1950,42,45.1
안마사,65,35,46,49.2
소설가,35,45,43,47.2
영화시나리오작가,22,18,33,36.8
방송작가,8,95,32,35.9
번역가,25,115,35,39.4
통역가,12,75,31,35.1
출판물기획자,35,55,36,39.8
신문기자,145,75,36,39.5
방송기자,55,30,35,38.7
잡지기자,20,45,33,36.9
학예사,15,35,35,38.9
문화재보존원,12,14,36,39.9
사서,15,165,35,39.1
기록물관리사,14,22,33,37.1
화가,45,85,44,48.1
조각가,25,12,45,48.6
사진작가 및 사진사,135,45,37,41.5
만화가,45,55,31,34.8
만화영화작가(애니메이터),35,65,28,32.3
국악인,15,35,36,40.5
지휘자,12,3,44,47.6
작곡가,45,35,31,35.4
연주가,55,145,29,33.9
가수,45,35,30,34.7
성악가,22,38,33,37.4
무용가,8,85,26,30.5
안무가,12,28,31,34.9
대중무용수,25,45,23,26.8
제품디자이너,85,95,32,35.8
의상디자이너,25,165,32,36.1
패션소품디자이너,12,65,31,35.2
실내장식디자이너,95,65,34,37.9
시각디자이너,115,280,29,33.1
웹디자이너,65,195,28,32.1
게임그래픽디자이너,95,45,28,31.9
영상그래픽디자이너,115,75,28,32.2
UX·UI디자이너,55,95,29,33.0
방송연출가,75,35,34,37.8
영화감독,45,12,38,42.1
연극연출가,22,15,37,41.3
광고영상감독,35,8,33,37.1
기술감독,55,3,39,42.6
영화배우 및 탤런트,45,40,28,33.9
모델,12,25,21,24.8
연극·뮤지컬배우,35,45,28,32.7
개그맨 및 코미디언,15,7,31,35.2
성우,7,11,34,38.1
아나운서,12,18,29,33.4
리포터,8,28,28,32.1
촬영기사,145,8,34,37.9
음향·녹음기사,65,5,33,36.8
영상·녹화·편집기사,115,45,29,33.2
조명기사,55,2,35,38.6
웹방송전문가(콘텐츠제작자),115,55,26,30.4
연예인매니저,95,15,27,31.2
스포츠감독 및 코치,210,35,39,42.7
직업운동선수,115,25,24,27.1
프로게이머,18,1,21,23.5
경기심판,45,8,36,39.9
스포츠강사,240,115,29,33.6
스포츠트레이너,165,55,28,32.1
레크리에이션전문가,15,12,31,35.4
이용사,75,5,56,58.2
미용사,35,1150,34,39.1
피부 및 체형관리사,8,240,31,35.4
네일아티스트,1,165,26,29.9
메이크업아티스트,5,85,26,30.1
분장사,4,28,28,32.3
반려동물미용사,8,95,28,32.4
수의사보조원,6,65,26,29.8
웨딩플래너,5,85,31,34.9
혼례종사원,12,45,46,49.5
장례지도사 및 장례상담원,75,15,44,47.3
여행상품개발자,22,35,32,35.8
여행사무원,35,75,30,34.1
자연 및 문화해설사,25,65,51,53.8
여행안내원,22,48,28,32.4
항공기객실승무원,15,135,27,31.5
선박객실승무원,18,7,31,35.2
열차객실승무원,12,25,28,32.1
숙박시설서비스원,115,145,45,48.2
오락시설서비스원,45,35,23,29.5
주방장,185,65,43,46.2
토목안전·환경·품질기술자,65,4,39,42.4
토목시공기술자 및 견적원,520,12,39,42.1
조경기술자,85,20,36,39.7
도시계획·설계가,35,15,35,38.6
교통계획·설계가,22,6,35,38.4
교통영향평가원,18,4,34,37.8
지적 및 측량기술자,95,8,36,39.4
지리정보시스템전문가,45,15,33,36.5
건설자재시험원,35,5,35,38.9
건설기계공학기술자 및 연구원,45,2,36,39.5
플랜트기계공학기술자,145,5,37,40.4
항공공학기술자,55,6,35,38.2
자동차공학기술자,280,15,35,38.5
조선·해양공학기술자,195,10,37,40.6
로봇공학기술자,65,8,32,35.4
기계시험원,55,5,33,36.9
금속·재료공학기술자,115,18,35,38.7
금속·재료공학시험원,35,15,31,34.8
전기기기·제품개발기술자 및 연구원,240,20,35,38.4
전기계측제어기술자,115,8,36,39.5
발전설비기술자,95,4,38,41.2
송·배전설비기술자,135,5,38,41.4
전기감리기술자,115,3,46,48.9
전기안전기술자,165,5,41,44.3
전자제품 및 부품 개발기술자,480,75,33,36.9
반도체공학기술자 및 연구원,550,115,32,35.7
전자계측제어기술자,135,12,34,37.6
디스플레이연구 및 개발자,210,45,32,35.5
전기·전자공학시험원,85,25,30,34.1
석유화학공학기술자 및 연구원,145,25,36,39.4
고무·플라스틱 화학공학기술자 및 연구원,85,20,35,38.7
도료·농약품 화학공학기술자 및 연구원,45,15,36,39.6
비누·화장품 화학공학기술자 및 연구원,35,65,33,36.8
의약품공학기술자 및 연구원,75,85,32,35.9
화학공학시험원,55,45,29,33.4
태양광발전연구 및 개발자,45,10,34,37.6
풍력발전연구 및 개발자,25,3,36,39.4
원자력공학기술자,38,4,38,41.5
에너지시험원,25,12,31,34.9
대기환경기술자 및 연구원,45,25,34,37.8
수질환경기술자 및 연구원,65,25,35,38.6
폐기물처리기술자,55,12,38,41.3
환경영향평가원,45,20,34,37.5
소음진동기술자 및 연구원,25,4,35,38.7
토양환경기술자 및 연구원,18,10,34,37.6
환경시험원,35,35,29,33.2
보건위생·환경검사원,45,35,36,39.8
섬유공학기술자,45,20,38,41.6
섬유공학시험원,15,20,31,35.2
식품공학기술자 및 연구원,65,55,34,37.6
식품공학시험원,25,45,29,33.5
소방공학기술자 및 연구원,55,4,36,39.7
산업안전원,210,20,38,41.5
위험관리원,45,8,37,40.6
비파괴검사원,95,3,33,36.9
3D프린팅모델러,25,15,28,31.9
제도사(캐드원),45,65,32,36.1
대학교수,115,45,48,51.3
대학시간강사,145,165,39,43.4
중·고등학교교사,950,2150,35,39.6
초등학교교사,310,1250,33,37.8
특수교육교사,45,165,33,37.5
보조교사,5,280,38,42.1
유치원교사,2,410,27,31.6
문리학원강사,240,380,32,36.4
외국어강사,85,195,30,34.2
고위공무원,12,1,53,55.4
기업고위임원,145,15,51,53.9
정부행정관리자,35,5,52,54.8
경영지원관리자,410,85,46,49.1
마케팅·광고·홍보관리자,185,65,42,45.3
금융관리자,240,35,47,49.8
보험관리자,115,25,46,49.4
연구관리자,135,25,45,48.6
유치원 원장 및 원감,0,45,49,52.3
초등학교 교장 및 교감,35,25,54,56.1
중고등학교 교장 및 교감,45,20,55,56.8
대학교 총장 및 대학학장,11,2,57,59.2
경찰·소방·교도관리자,95,5,50,52.9
보건·의료관리자,35,55,48,51.4
사회복지관리자,25,65,47,50.3
예술·디자인·방송관리자,65,35,44,47.5
정보통신관리자,165,15,44,47.2
여행·ホテル관리자,45,25,45,48.3
음식서비스관리자,145,95,43,46.7
경비·청소관리자,165,35,55,57.3
영업·판매관리자,520,115,45,48.6
운송관리자,115,8,47,50.2
건설·채굴관리자,380,5,49,51.8
전기·가스·수도관리자,85,4,48,51.1
제조·생산관리자,650,45,47,50.3
정부·공공행정전문가,45,15,41,44.6
경영·진단전문가,165,45,39,42.8
노무사,45,20,36,39.8
인적자원전문가,75,45,36,39.5
회계사,115,35,35,38.9
세무사,105,30,42,45.4
관세사,28,12,38,41.6
감정평가사,35,10,39,42.7
광고·홍보·마케팅전문가,135,115,33,36.9
조사전문가,25,35,34,37.8
상품기획자,115,125,33,36.6
공연·영화·음반기획자,45,55,33,36.8
행사기획자,35,45,31,35.2
조세행정사무원,85,55,36,40.1
관세행정사무원,35,25,35,39.4
병무행정사무원,25,15,36,39.8
공공행정사무원,850,680,35,39.3
법원공무원,95,55,36,40.2
경영기획사무원,650,380,32,36.4
광고·홍보·마케팅사무원,115,165,29,33.8
영업기획·관리·지원사무원,580,240,33,37.1
인사·교육·훈련사무원,165,145,32,36.5
총무사무원,480,310,34,38.2
감사사무원,55,15,38,41.9
회계사무원,145,420,31,35.8
경리사무원,40,950,33,38.4
무역사무원,95,135,30,34.2
도로운송사무원,115,25,39,42.7
철도·지하철운송사무원,65,15,37,40.9
항공운송사무원,35,45,30,34.1
수상운송사무원,25,5,38,41.6
자재·구매사무원,165,65,34,38.1
물류사무원,280,75,33,37.4
생산·품질사무원,340,85,34,37.9
품질관리사무원,210,65,33,37.2
안내·접수원,15,240,26,31.4
고객상담원,45,410,33,37.6
의료코디네이터,1,55,29,33.5
통계사무원,20,35,31,35.4
비서,8,145,27,31.9
사무보조원,115,480,28,34.2
출판·자료편집사무원,25,65,32,36.1
